,tanggal,label,judul
0," - 21/03/2022, 16:34 WIB",Megapolitan,tawur ajar sekolah tangerang orang tewas kena bacok
1," - 21/03/2022, 15:12 WIB",Nasional,menteri panrb cabut atur batas asn pergi negeri
2," - 21/03/2022, 16:54 WIB",Megapolitan,art aniaya anak balita majikan tetap sangka
3," - 21/03/2022, 16:50 WIB",Nasional,update maret mati jiwa
4," - 21/03/2022, 15:07 WIB",Nasional,haris sangka nilai bukti jabat sulit terima kritik
5," - 21/03/2022, 15:08 WIB",Megapolitan,baca pleidoi munarman perkara rekayasa tutup bunuh laskar fpi
6," - 21/03/2022, 16:39 WIB",Nasional,mpr agenda amendemen uud tunda milu
7," - 21/03/2022, 16:26 WIB",Nasional,ketua kpu konsisten lanjut milu
8," - 21/03/2022, 16:34 WIB",Megapolitan,amat saran tarif integrasi transportasi jakarta nikmat warga bodetabek
9," - 21/03/2022, 15:03 WIB",Megapolitan,kriminalisasi jabat fatia presiden jokowi mesti sorot sibuk kriminalisasi
10," - 21/03/2022, 16:38 WIB",Megapolitan,warga korban bakar cipete cari sisa barang harga
11," - 21/03/2022, 15:18 WIB",Megapolitan,tangkap kait narkoba gitaris roby geisha sembunyi barang bukti ganja
12," - 21/03/2022, 16:53 WIB",Nasional,update maret total sembuh capai
13," - 21/03/2022, 16:44 WIB",Nasional,update hari capai
14," - 21/03/2022, 16:24 WIB",Megapolitan,wakil wali kota depok minyak goreng wasilah usut tuntas
15," - 21/03/2022, 15:25 WIB",Nasional,luhut bantah main tambang papua ketimbang perkara haris
16," - 21/03/2022, 14:56 WIB",Nasional,bareskrim sita aset nila rp miliar milik petinggi robot trading viral blast
17," - 21/03/2022, 14:55 WIB",Megapolitan,operasi sejarah gedung sarinah jakarta
18," - 21/03/2022, 16:25 WIB",Nasional,polri tanggap nyata mendag sangka mafia minyak goreng crosscheck
19," - 21/03/2022, 17:15 WIB",Nasional,pimpin sidang ipu puan parlemen mobilisasi aksi nyata atas ubah iklim
20," - 21/03/2022, 16:22 WIB",Megapolitan,munarman nyata petinggi parpol wacana tunda milu langgar konstitusi pidana
21," - 21/03/2022, 16:19 WIB",Megapolitan,asn dki jakarta lapor harta kaya wagub ariza wajib lapor
22," - 21/03/2022, 16:23 WIB",Megapolitan,rusun marunda bulan cemar debu batu bara warga sapu debu hitam
23," - 21/03/2022, 14:48 WIB",Nasional,bmkg prediksi es puncak jayawijaya punah
24," - 21/03/2022, 16:08 WIB",Nasional,haris sangka aktivis bentuk merosot demokrasi
25," - 21/03/2022, 17:15 WIB",Nasional,update spesimen periksa hari positivity rate versi pcr persen
26," - 21/03/2022, 14:50 WIB",Megapolitan,sekolah marunda keluh debu batu bara abai pt kcn
27," - 21/03/2022, 17:15 WIB",Megapolitan,alas art aniaya anak majikan cengkareng kesal korban menang susah makan
28," - 21/03/2022, 17:15 WIB",Nasional,polisi aman kg sabu jaring narkoba
29," - 21/03/2022, 14:43 WIB",Nasional,pimpin komisi vi nilai hak angket minyak goreng
30," - 21/03/2022, 17:14 WIB",Megapolitan,umkm buka gerai mal sarinah buka
31," - 21/03/2022, 14:29 WIB",Megapolitan,kemudi mercy halang ambulans hadir mediasi temu jadwal ulang
32," - 21/03/2022, 14:32 WIB",Nasional,publik nilai anggap kpk tangguh
33," - 21/03/2022, 16:03 WIB",Megapolitan,antusiasme warga kunjung mal sarinah operasi
34," - 21/03/2022, 14:18 WIB",Nasional,mayoritas publik puas kpk kerja dewas
35," - 21/03/2022, 16:06 WIB",Megapolitan,operasi renovasi sarinah harap gerak produk lokal
36," - 21/03/2022, 17:12 WIB",Nasional,baca eksepsi kuasa hukum adam den dakwa jaksa
37," - 21/03/2022, 15:56 WIB",Megapolitan,nama wali kota wakil wali kota depok catut tipu galang dana sosial
38," - 21/03/2022, 14:28 WIB",Megapolitan,gitaris geisha roby satria tangkap ganja lapor studio musik kerap narkoba
39," - 21/03/2022, 17:09 WIB",Nasional,nasdem tunda amendemen pphn uud cegah isu tunda milu
40," - 21/03/2022, 16:13 WIB",Nasional,kpu uji publik rancang pkpu daftar parpol serta milu
41," - 21/03/2022, 17:11 WIB",Megapolitan,polisi enggan identitas kemudi mercy halang mobil ambulans bawa bumil
42," - 21/03/2022, 16:02 WIB",Megapolitan,periksa sangka cemar nama luhut fatia maulidiyanti tahan bukti represif
43," - 21/03/2022, 17:05 WIB",Megapolitan,nama wali kota wakil wali kota depok catut tipu modus
44," - 21/03/2022, 15:46 WIB",Nasional,polisi periksa klub madura united kait robot trading viral blast
45," - 21/03/2022, 17:04 WIB",Nasional,puan seru mitra global multilateral selesai konflik antarnegara dampak ubah iklim
46," - 21/03/2022, 17:11 WIB",Megapolitan,ajar tewas akibat tawur tangerang polisi tetap sangka
47," - 21/03/2022, 15:46 WIB",Megapolitan,psi jabat dki jakarta lapor harta kaya
48," - 21/03/2022, 15:51 WIB",Nasional,klaim lapor mafia minyak goreng polisi mendag moga ungkap
49," - 21/03/2022, 15:45 WIB",Nasional,usul selidik kisruh minyak goreng hak angket dpr
50," - 21/03/2022, 15:36 WIB",Megapolitan,kaca motogp wagub dki harap gelar formula e sukses
51," - 21/03/2022, 17:03 WIB",Nasional,tangkap teroris maret densus terorisme
52," - 21/03/2022, 17:00 WIB",Megapolitan,satpol pp dki gelar razia pmks ramadhan janji tindak arogan
53," - 21/03/2022, 16:58 WIB",Nasional,update maret orang suspek kait indonesia
54," - 21/03/2022, 17:00 WIB",Megapolitan,polisi panggil kemudi mercy halang ambulans tol rabu pekan
55," - 21/03/2022, 15:35 WIB",Nasional,puan tekan diplomasi parlemen jembatan beda antarnegara ipu
56," - 21/03/2022, 15:34 WIB",Megapolitan,balap formula e jakarta pakai pawang hujan wagub dki
57," - 21/03/2022, 15:32 WIB",Megapolitan,ptm persen wagub dki insya allah
