judul,label,isi
2 ART Penganiaya 3 Anak Balita Majikan Ditetapkan sebagai Tersangka,Megapolitan," - Dua orang asisten rumah tangga (,) ditetapkan sebagai tersangka penganiayaan anak. , INA (18) dan ANI (29) diduga melakukan penganiayaan kepada tiga anak majikannya yang masih di bawah lima tahun (balita), di Cengkareng, Jakarta Barat., ""Terkait tindak pidana kekerasan pada anak yang dilaporkan pada 18 maret 2022, telah kita tindak lanjuti, olah TKP, dan pengamanan tersangka, "" kata Kapolsek Cengkareng Kompol Ardhie Demastyo saat ditemui di Cengkareng, Senin (21/3/2022)., Penetapan status tersangka dilakukan setelah kedua pelaku diamankan. Sebab, salah satu pelaku diketahui sempat pulang ke kampung halamannya di Lampung. , ""Kami kejar juga satu pelaku ke Lampung. Alhamdulillah kurang dari 13 jam, kami amankan keduanya, sudah kita tetapkan sebagai tersangka, "" ujar Ardhie., Atas perbuatannya, kedua tersangka disangkakan dua pasal dengan ancaman hukuman pidana 8 tahun dan denda Rp 100 juta. , ""Pasal yang diterapkan yakni Pasal 44 ayat 1 UU KDRT, dan pasal 76 c juncto 80 ayat 1 UU Perlindungan Anak, dengan ancaman 8 tahun dan denda Rp 100 juta, "" pungkas Ardhie., Sebelumnya, aksi ANI dan INA terungkap berkat rekaman warga setempat yang menyaksikan peristiwa penganiayaan itu. , Dalam rekaman terlihat dua ART menganiaya ketiga balita tersebut dengan cara menampar, mencubit, hingga menyeret mereka. Salah satu anak diketahui berusia tiga tahun dan dua lainnya merupakan anak kembar berumur 1,5 tahun., ""Berawal dari laporan sekuriti komplek, kami tindak lanjuti dan anggota datang ke lokasi. Ada penganiayaan yang dilakukan kepada anak majikan di komplek tersebut,"" kata Ardhie di Cengkareng, Kamis (17/3/2022)., Sementara BF, ibu korban, mengaku baru mengetahui penganiayaan yang diterima ketiga anaknya itu berdasarkan rekaman tetanggannya tersebut.,Ia pun tidak berencana mencabut laporan tersebut, apalagi berdamai dengan kedua pelaku. , ""Saya kayaknya tidak ada rencana untuk berdamai. Saya akan melanjutkan sesuai hukum yang berlaku, "" kata BF di Cengkareng. .."
Warga Korban Kebakaran di Cipete Cari Sisa Barang Berharga,Megapolitan," - Sebagian , di RT 07 RW 06 Jalan Cempaka III, , Utara, Kebayoran Baru, Jakarta Selatan, mendatangi rumah mereka yang terbakar., Berdasar pantauan , Senin (21/3/2022) sore, mereka tampak mencari barang-barang berharga yang selamat dari insiden , pada Sabtu (19/3/2022) pagi., Selangkah demi langkah mereka melewati puing, seng, dan kayu yang telah menjadi arang. Mereka mencari sejumlah barang dengan menggeser sisa-sisa kontruksi bangunan yang sudah hangus terbakar., Ketua RT 06 Hamdani mengatakan, warganya yang menjadi korban kebakaran mulai mencari sisa barang-barang berharga setelah mendapatkan izin kepolisian.,Mereka sebelumnya telah meminta izin untuk masuk agar bisa mencari barang yang masih dapat digunakan., ""Sudah dapat izin, terkecuali dua rumah yang ada korban meninggal itu. Itu warga tidak diperbolehkan masuk karena masih penyelidikan polisi,"" ujar Hamdani di lokasi, Senin., ""Dua hari ini warga ingin masuk, ingin mengais barang-barang yang masih bisa dicari atau tersisa,"" kata Hamdani., Diberitakan sebelumnya, kebakaran tersebut diduga terjadi akibat korsleting listrik. Api pertama kali terlihat menyala di salah satu rumah warga sekitar pukul 06.40 WIB., Warga sempat berusaha memadamkan api, namun api sudah telanjur menyebar ke rumah lainnya., Perwira piket Suku Dinas Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) Jakarta Selatan, Sartono, mengatakan bahwa peristiwa tersebut menimbulkan satu korban jiwa, yakni seorang penghuni kos., ""Satu orang meninggal, berinisial A (25) yang tidur di kamar (lantai) atas. Korban malam hari masih terlihat pulang kerja,"" kata Sartono dalam keterangannya, Sabtu."
UPDATE 21 Maret: Total Kasus Sembuh Covid-19 Capai 5.609.945,Nasional,"- Jumlah kasus sembuh setelah terpapar Covid-19 di Indonesia mencatatkan penambahan.,Data dari Satuan Tugas (Satgas) Penanganan Covid-19 hingga Senin (17/3/2022) pukul 12.00 WIB dilaporkan adanya penambahan 20.888 kasus sembuh dalam kurun waktu 24 jam terakhir.,Dengan demikian, total kasus sembuh dari Covid-19 di Tanah Air saat ini mencapai 5.609.945.,Informasi tersebut disampaikan Satgas melalui data Badan Nasional Penanggulangan Bencana (BNPB) yang dikutip Kompas.com, Senin sore.,Kendati demikian, data yang sama juga menunjukkan masih adanya penambahan kasus baru positif Covid-19 sebanyak 4.699.,Sehingga, total kasus positif Covid-19 di Indonesia mencapai 5.967.182.,Sementara itu, jumlah kasus kematian dari Covid-19 bertambah sebanyak 154 dalam kurun waktu yang sama.,Dengan demikian, kini ada 153.892 kasus kematian.,Lebih lanjut, terdapat 510 kabupaten/kota yang terpapar Covid-19 di 34 provinsi."
MPR Sebut Tak Pernah Agendakan Amendemen UUD 1945 untuk Tunda Pemilu,Nasional," - , (,) menyatakan mereka tidak pernah mengagendakan untuk melakukan amendemen Undang-Undang Dasar 1945 dengan tujuan memperpanjang masa jabatan presiden atau penundaan pemilihan umum (pemilu) 2024.,“Saya kira itu yang menjadi komitmen MPR hingga saat ini,” kata , RI , seperti dikutip dari , dan ,.,Basarah yang merupakan politikus PDI Perjuangan mengatakan, polemik yang berkembang terkait wacana , dan , bukan gagasan yang lahir dari MPR.,“Hal ini dilakukan agar muruah konstitusi kita dapat dijaga, karena konstitusi itu adalah visi dan misi bangsa Indonesia yang besar dan jangka panjang. Tidak boleh desain perubahan UUD itu didesain untuk kepentingan perorangan atau kelompok-kelompok,” ujar Basarah.,Basarah mengatakan, pihaknya selalu tegas menolak bila ada agenda penundaan pemilu dan perpanjangan masa jabatan presiden.,“PDIP telah menarik diri secara terbatas untuk menghadirkan PPHN tidak dilaksanakan pada periode ini,” ucap Basarah.,Meski begitu, Basarah mengatakan dia tetap menghargai bila ada sejumlah kelompok masyarakat yang menyuarakan wacana perpanjangan masa jabatan presiden dan ,. Menurut dia, itu merupakan bagian dari jaminan kebebasan berpikir, berorganisasi, berpendapat kepada masyarakat luas dalam Undang-Undang Dasar 1945.,Menteri Investasi/Kepala BKPM Bahlil Lahadalia yang mulanya mengomentari isu terkait perpanjangan masa jabatan presiden pada 2021 lalu.,Ketua Umum Partai Kebangkitan Bangsa (PKB) Muhaimin Iskandar lantas mengusulkan gagasan tentang penundaan pemilu 2024. Tidak lama kemudian Ketua Umum Partai Amanat Nasional (PAN) Zulkifli Hasan dan Ketum Partai Golkar Airlangga Hartarto mengusulkan hal yang sama.,Selain alasan pemulihan ekonomi, Muhaimin mengatakan banyak akun di media sosial setuju dengan usulannya agar pelaksanaan Pemilu 2024 ditunda."
"Ditangkap Terkait Narkoba, Gitaris Roby Geisha Sempat Sembunyikan Barang Bukti Ganja",Megapolitan," - Gitaris band Geisha, ,, yang lagi-lagi ditangkap karena  penyalahgunaan narkotika jenis ganja, disebut sempat menyembunyikan barang bukti saat diamankan polisi. , Roby ditangkap bersama asistennya, AJR, di salah satu studio musik kawasan Perdatam, Pancoran, Jakarta Selatan, Sabtu (19/3/2022) malam., ""Kita mencari barang bukti disembunyikan. Tak mungkin dia ,,"" ujar Kasat Narkoba Polres Metro Jakarta Selatan, AKBP Ahmad Akbar saat dikonfirmasi, Senin (21/3/2022)., Namun, Akbar tidak menjelaskan lebih rinci di mana Roby menyembunyikan ganja yang ia beli dari AJR itu., Akbar mengatakan, Roby dan AJR tidak melakukan perlawanan dalam proses penangkapan itu. , ""Saya kira itu biasa lah di dunia lapangan. Tidak ada perlawanan,"" ucap Akbar., Diberitakan sebelumnya, Roby dan asistennya, AJR ditangkap pada Sabtu sekitar pukul 21.00 WIB. , Polisi mendapatkan bukti 8 gram ganja dan satu linting sisa pakai dari penangkapan Roby dan AJR., Saat ini Roby dan AR telah ditetapkan sebagai tersangka. Mereka dijerat dengan pasal yang berbeda. , Roby jerat Pasal 114 Ayat 1 Subsider Pasal 127 Undang Undang Nomor 35 Tahun 2009 tentang Narkotika. Dia terancam hukuman paling singkat empat tahun dan paling lama 12 tahun penjara."
Ketua KPU: Kami Konsisten Lanjutkan Pemilu 2024,Nasional," - Ketua Komisi Pemilihan Umum (,) Ilham Saputra menyatakan komitmennya untuk menyelenggarakan , 2024.,Hal itu ia ungkapkan ketika ditanyai wartawan mengenai keberlanjutan penyelenggaraan agenda hajatan lima tahunan tersebut.,Pasalnya dalam beberapa waktu terakhir, isu penundaan , cukup santer diberitakan.,""KPU sebagai penyelenggara ,, bekerja sesuai dengan atau berdasarkan konsistensi atau peraturan perundang-undangan. Saat ini KPU konsisten untuk melanjutkan Pemilu 2024 mendatang,"" ujar Ilham di Kantor KPU RI, Jakarta, Senin (21/3/2022).,Ia pun turut menanggapi terkait undangan Kementerian Koordinator Politik, Hukum, dan HAM (Kemenkopolhukam) mengenai pembahasan isu penundaan Pemilu 2024 di Balikpapan, Kalimantan Timur.,Ia pun mengaku tak tahu menahu dengan undangan tersebut. Di sisi lain, undangan rapt koordinasi oleh Kemenkopolhukam tersebut juga sudah dibatalkan.,""Saya nggak tahu. Tanya Menkopolhukam yang membuat undangan. Dan itu sudah dibatalkan, sudah selesai,"" ujar Ilham.,Terkait kemajuan pembahasan tahapan Pemilu 2024, Ilham menyatakan telah selesai menyusun rancangan Peraturan KPU (PKPU) terkait jadwal, tahapan dan program Pemilu 2024.,Ia menyatakan bakal menyurati Komisi II DPR RI untuk PKPU terkait tahapan, jadwal, dan program tersebut.,Ilham mengatakan, rencananya pendaftaran partai politik sendiri bakal dilangsungkan pada 1-7 Agustus 2022 mendatang.,""1-7 Agustus di dalam rencana tahapan dan jadwal kita. Hari ini rencananya kita akan surati DPR u tun bisa membahas di periode kita,"" ujar Ilham"
Haris Azhar-Fatia Tersangka Dinilai Bukti Pejabat Sulit Terima Kritik,Nasional," - Aktivis hak asasi manusia sekaligus dosen Universitas Negeri Jakarta, Robertus Robet, menyayangkan penetapan tersangka terhadap Koordinator Kontras Fatia Maulidiayati dan mantan Koordinator KontraS , dalam kasus dugaan , terhadap , ,. Menurut dia kasus itu adalah salah satu bukti pejabat publik di Indonesia tidak bisa menerima kritik dari masyarakat.,""Dari banyak kasus serupa, tak pelak bahwa kriminalisasi ini terjadi sebagai akibat dari pejabat publik memperlakukan kritik sebagai serangan personal,"" kata Robet kepada Kompas.com, Senin (21/3/2022).,""Padahal kritik itu mestinya inheren di dalam jabatan publiknya. Menerima jabatan publik artinya menerima sorot dan evaluasi publik,"" lanjut Robet yang merupakan Anggota Dewan Penasehat Kaukus Indonesia untuk Kebebasan Akademik (KIKA).,Perkara yang membelit Haris dan Fatia, kata Robet, juga menunjukkan budaya demokrasi yang kurang kuat di kalangan elite negara dan politik.,Kepala Bidang Hubungan Masyarakat Polda Metro Jaya, Komisaris Besar Endra Zulpan, pada Sabtu (19/3/2022) pekan lalu menyatakan penyidik sudah menetapkan Haris dan Fatia sebagai tersangka kasus pencemaran nama baik terhadap Luhut.,Hari ini keduanya menjalani pemeriksaan di Polda Metro Jaya.,Beberapa waktu lalu Luhut melaporkan Haris Azhar dan Fatia terkait pencemaran nama baik ke Polda Metro Jaya. Luhut dan tim pengacara melaporkan Haris dan Fatia karena percakapan keduanya di kanal YouTube.,Dalam kanal YouTube milik Haris, keduanya menyebutkan Luhut ""bermain"" dalam bisnis tambang di Intan Jaya, Papua. Saat itu keduanya membahas hasil riset yang berjudul ""Ekonomi-Politik Penempatan Militer di Papua: Kasus Intan Jaya"". Riset itu diluncurkan oleh YLBHI, WALHI Eksekutif Nasional, Pusaka Bentala Rakyat, WALHI Papua, LBH Papua, KontraS, JATAM, Greenpeace Indonesia, Trend Asia, bersama Koalisi Bersihkan Indonesia.,Sebelum melapor ke polisi, Luhut sudah beberapa kali melayangkan somasi kepada Haris dan Fatia.,Dalam somasi tersebut, Luhut menuntut permintaan maaf yang ditayangkan di akun YouTube Haris. Kuasa hukum Fatia, Julius Ibrani, mengatakan bahwa dua somasi yang dilayangkan Luhut telah dijawab kliennya."
Luhut Diminta Buat Bantahan Soal Main Tambang di Papua Ketimbang Terus Perkarakan Haris Azhar-Fatia ,Nasional," - , , disarankan membantah tuduhan tentang dugaan keterlibatannya dalam bisnis tambang di kawasan Intan Jaya, Papua, dengan menampilkan riset tandingan.,Pernyataan itu disampaikan oleh Anggota Komisi III Dewan Perwakilan Rakyat (DPR) dari Fraksi Nasdem Taufik Basari, menanggapi penetapan tersangka terhadap Koordinator Kontras Fatia Maulidiayati dan mantan Koordinator KontraS , dalam kasus dugaan , terhadap Luhut. Taufik mengatakan, sebaiknya Luhut menyampaikan bantahan terkait tuduhan itu ketimbang melanjutkan proses hukum.,""Karena itu pihak yang dirugikan dapat menggunakan haknya untuk mengklarifikasi, baik melalui keterangan bantahan atau bahkan jika perlu melalui riset serupa,"" kata Tobas, sapaan Taufik, dalam keterangan pers, Senin (21/3/2022).,Anggota Dewan Penasehat Kaukus Indonesia untuk Kebebasan Akademik (KIKA) Robertus Robet menyampaikan pendapat yang serupa dengan Taufik. Menurut dia sikap Luhut yang melaporkan Haris dan Fatia dinilai kurang tepat.,""Apa yang dilakukan Haris dan Fatia adalah mendiskusikan ulang sebuah hasil riset dari 9 lembaga hak asasi manusia. Kalau ada yang tidak tepat mengapa bukan risetnya yang digugat?,"" kata Robet kepada Kompas.com.,Robet yang merupakan aktivis hak asasi manusia sekaligus dosen Universitas Negeri Jakarta mengatakan, kasus pidana yang menjerat Fatia dan Haris adalah salah satu bukti bahwa para pejabat publik tidak mempunyai budaya demokratis. Padahal menurut dia, ketika seseorang bersedia dan diangkat menjadi pejabat publik maka sudah harus siap disorot dan menerima kritik dari masyarakat.,Taufik mengatakan, perselisihan antara Haris-Fatia dengan Luhut tidak semestinya diselesaikan dengan proses pidana. Sebab menurut dia masih ada cara lain bagi para pelapor dan terlapor menyelesaikan perkara itu.,Pertama, kata Taufik, adalah pencabutan laporan oleh pelapor. Kedua, pihak kepolisian mendorong penyelesaian perdamaian melalui ,.,""Kemudian ditindaklanjuti dengan memberikan ruang yang sepadan dan proporsional bagi pelapor menjelaskan keterangan versinya sebagai hak untuk membantah,” kata Taufik.,Taufik berharap pihak Kepolisian mempertimbangkan dan mengkaji usulan tersebut demi menjaga demokrasi dan kepercayaan publik terhadap penegakan hukum yang adil."
"UPDATE 21 Maret: Tambah 154, Kasus Kematian Covid-19 Jadi 153.892 Jiwa",Nasional," Pasien Covid-19 di Indonesia meninggal dunia dilaporkan bertambah 154 orang dalam 24 jam terakhir., Hingga Senin (21/3/2022) ada 153.892 kasus kematian akibat Covid-19 di Tanah Air., Informasi itu disampaikan Satuan Tugas Penanganan Covid-19 melalui dokumen yang disiarkan kepada wartawan, Senin sore. Data juga dapat diakses melalui situs covid19.go.id., Selain itu, pemerintah mencatat penambahan 4.699 kasus positif Covid-19., Dengan demikian, hingga hari ini ada 5.967.182 kasus Covid-19 sejak pemerintah pertama kali mengumumkannya pada 2 Maret 2020., Sementara itu, kasus sembuh Covid-19 bertambah 20.888 sehingga jumlahnya menjadi 5.609.945, Saat ini ada 203.345 kasus aktif Covid-19 di Tanah Air. Kasus Covid-19 telah menyebar di 510 kabupaten/kota di 34 provinsi."
"Tawuran Pelajar 2 Sekolah di Tangerang, Satu Orang Tewas Kena Bacok",Megapolitan," - , antarsiswa dua sekolah terjadi di wilayah hukum Tangerang Selatan, tepatnya di Jalan Raya Legok-Karawaci, Kecamatan Legok, ,.,Peristiwa itu menyebabkan seorang pelajar berinisial MFS (17) meninggal dunia.,Kabid Humas Polda Metro Jaya Kombes Endra Zulpan mengatakan, , itu melibatkan pelajar SMK 7 Kabupaten Tangerang dengan SMK Penerbangan Dirgantara.,Ia mengungkapkan, kasus berawal saat pelajar SMK Penerbangan Dirgantara melalui media sosial Instagram mengajak pelajar SMK 7 Kabupaten Tangerang untuk melakukan tawuran.,""Pada Selasa (15/3/2022), (siswa) SMK 7 Kabupaten Tangerang ini mendapat pesan dari (siswa) SMK Penerbangan dengan pesan 'Besok penataran bisa enggak?' Yang mana yang memegang akun adalah MFS sebagai korban yang meninggal dunia,"" ujar Zulpan kepada wartawan, Senin (21/3/2022).,Kemudian, korban menyanggupi dan menginformasikan kepada teman-temannya untuk berkumpul di sebuah warung.,Keesokan harinya, Rabu (16/3/2022), korban beserta siswa lainnya berkumpul dengan jumlah 10 orang. Mereka menyiapkan dua celurit, stik golf, dan kembang api.,""Sesampainya di TKP, ketemu (siswa) SMK dirgantara. Korban turun dan memutar balik karena jumlah SMK Dirgantara lebih banyak. Dari video, korban dibacok dari belakang oleh siswa SMK Dirgantara dengan celurit sehingga korban mengalami luka bacok,"" jelasnya.,Korban kemudian dirujuk ke RSUD Kabupaten Tangerang, tetapi nyawanya tidak tertolong.,Polisi kemudian menetapkan dua orang sebagai tersangka dalam kasus ini, yaitu SR dan MZA (15).,Atas perbuatannya, kedua pelaku dijerat Pasal 80 ayat 3 juncto Pasal 76C Undang-Undang Nomor 35 Tahun 2014 sub Pasal 170 ayat (3) KUHP dengan ancaman pidana 15 tahun penjara."
